unique_name,location
analyzererror-fpa-callsite-only,src/drivers/lotus-alias/lotus-fpa.cpp
analyzererror-pts-test-inconsistent,src/common/PAWrapper.cpp
analyzererror-svf-alias-value-node-missing,src/drivers/svf-wpa/svf-wpa.cpp
analyzererror-svf-value-node-missing,src/drivers/svf-wpa/svf-wpa.cpp
assertionviolation-allocation-sites-not-computed,src/common/PAWrapper.cpp
assertionviolation-allocation-sites-not-computed-by-function,src/common/PAWrapper.cpp
assertionviolation-call-edge-null-callee,src/common/CallGraph.cpp
assertionviolation-callsite-no-parent,src/common/CallGraph.cpp
assertionviolation-debug-file-path-null,src/common/IRManager.cpp
assertionviolation-empty-edge-range,src/common/CallGraph.cpp
assertionviolation-empty-edge-range-at-callsite,src/common/CallGraph.cpp
assertionviolation-ensure-i64-null-value,src/common/LLVMUtils.cpp
assertionviolation-ensure-i64-unsupported-type,src/common/LLVMUtils.cpp
assertionviolation-get-mem-lib-func-null-callee,src/common/MemoryBuiltins.cpp
assertionviolation-get-out-edges-at-callsite-before-build-cg,src/common/CallGraph.cpp
assertionviolation-get-out-edges-at-callsite-null,src/common/CallGraph.cpp
assertionviolation-get-out-edges-before-build-cg,src/common/CallGraph.cpp
assertionviolation-id-struct-to-vid-null,src/common/IRManager.h
assertionviolation-indirect-call-resolver-null-operand,src/common/PAWrapper.cpp
assertionviolation-llvm-skip-null-function,src/common/LLVMUtils.h
assertionviolation-llvm-skip-null-global,src/common/LLVMUtils.h
assertionviolation-null-argv,src/common/CommandLine.cpp
assertionviolation-null-argv-token,src/common/CommandLine.cpp
assertionviolation-points-to-set-output-not-empty,src/common/PAWrapper.cpp
assertionviolation-print-detailed-value-id-null,src/common/LLVMUtils.h
assertionviolation-print-id-struct-type-null,src/common/IRManager.cpp
assertionviolation-print-value-null,src/common/IRManager.cpp
assertionviolation-reach-before-build-cg,src/common/CallGraph.cpp
assertionviolation-reach-null-args,src/common/CallGraph.cpp
assertionviolation-record-struct-types-null-type,src/common/IRManager.cpp
assertionviolation-record-struct-types-null-worklist-type,src/common/IRManager.cpp
assertionviolation-reverse-cg-not-built,src/common/CallGraph.cpp
assertionviolation-reverse-cg-not-built-in-edges,src/common/CallGraph.cpp
assertionviolation-scope-top-uninitialized,src/hook/PointerSymbolTable.cpp
assertionviolation-unknown-pointer-action,src/hook/PointerSymbolTable.cpp
assertionviolation-valid-direct-call-indirect,src/common/MemoryBuiltins.h
assertionviolation-valid-direct-call-nobuiltin,src/common/MemoryBuiltins.h
assertionviolation-valid-direct-call-null-cb,src/common/MemoryBuiltins.h
assertionviolation-value-to-vid-null,src/common/IRManager.h
configerror-cgpatch-path-empty,src/common/QueryInterface.cpp
configerror-input-bitcode-count,src/drivers/svf-wpa/svf-wpa.cpp
configerror-ir-path-empty,src/common/IRManager.cpp
configerror-no-input,src/drivers/irm/irm.cpp
configerror-note-folder-empty,src/common/QueryInterface.cpp
configerror-tv-note-folder-empty,src/common/QueryInterface.cpp
configerror-unimplemented-analysis-type,src/drivers/lotus-alias/lotus-fpa.cpp
configerror-unknown-analysis-mode,src/drivers/lotus-alias/lotus-aser-aa.cpp
configerror-unknown-bdd-reordering-method,src/drivers/lotus-alias/lotus-aser-aa.cpp
configerror-unknown-solver-type,src/drivers/lotus-alias/lotus-aser-aa.cpp
filesystemerror-asm-output-open-failed,src/drivers/lotus-alias/lotus-un-seadsa-aa.cpp
filesystemerror-cfg-dot-dir-create-failed,src/drivers/lotus-alias/lotus-tpa.cpp
filesystemerror-cgpatch-append-open-failed,src/common/QueryInterface.cpp
filesystemerror-cgpatch-open-failed,src/common/QueryInterface.cpp
filesystemerror-note-file-create-failed,src/common/QueryInterface.cpp
filesystemerror-note-file-open-failed,src/common/QueryInterface.cpp
filesystemerror-note-file-write-failed,src/common/QueryInterface.cpp
filesystemerror-note-file-write-failed-close,src/common/QueryInterface.cpp
filesystemerror-note-file-write-failed-open,src/common/QueryInterface.cpp
filesystemerror-note-folder-create-failed,src/common/QueryInterface.cpp
filesystemerror-output-file-open-failed,src/drivers/lotus-alias/lotus-aa.cpp
filesystemerror-pointer-spec-not-found,src/drivers/lotus-alias/lotus-tpa.cpp
filesystemerror-pts-dump-open-failed,src/common/QueryInterface.cpp
inputbitcodeerror-declfn-name-not-function,src/common/LLVMUtils.h
inputbitcodeerror-declfn-type-mismatch,src/common/LLVMUtils.h
inputbitcodeerror-ir-load-failed,src/common/IRManager.cpp
inputbitcodeerror-no-main-function,src/instrument/instrument.cpp
inputbitcodeerror-no-main-function-found,src/instrument/instrument.cpp
inputbitcodeerror-strlen-name-not-function,src/common/MemoryBuiltins.cpp
noterelated-note-conjecture-not-found,src/common/QueryInterface.cpp
noterelated-note-local-value,src/common/QueryInterface.cpp
noterelated-note-no-debug-info,src/common/QueryInterface.cpp
noterelated-note-not-found,src/common/QueryInterface.cpp
noterelated-note-not-found-on-modify,src/common/QueryInterface.cpp
noterelated-note-premise-not-found,src/common/QueryInterface.cpp
noterelated-note-premise-when-not-found,src/common/QueryInterface.cpp
noterelated-note-theorem-premise,src/common/QueryInterface.cpp
noterelated-record-pos-not-key-point,src/common/QueryInterface.cpp
noterelated-tv-no-debug-info,src/common/QueryInterface.cpp
noterelated-tv-note-not-found,src/common/QueryInterface.cpp
noterelated-tv-proposition-not-found,src/common/QueryInterface.cpp
noterelated-tv-root-note-not-found,src/common/QueryInterface.cpp
semanticerror-cgpatch-missing-callee,src/common/QueryInterface.cpp
semanticerror-tv-local-value,src/common/QueryInterface.cpp
semanticerror-tv-recursive-dependency,src/common/QueryInterface.cpp
semanticerror-unknown-query-type,src/common/PAWrapper.cpp
syntaxerror-alias-usage,src/common/QueryInterface.cpp
syntaxerror-aliasset-usage,src/common/QueryInterface.cpp
syntaxerror-callin-usage,src/common/QueryInterface.cpp
syntaxerror-callout-usage,src/common/QueryInterface.cpp
syntaxerror-cg-usage,src/common/QueryInterface.cpp
syntaxerror-cgpatch-usage,src/common/QueryInterface.cpp
syntaxerror-cgreload-usage,src/common/QueryInterface.cpp
syntaxerror-crash-too-many-arguments,src/common/QueryInterface.cpp
syntaxerror-detail-too-many-arguments,src/common/QueryInterface.cpp
syntaxerror-empty-input,src/common/QueryInterface.cpp
syntaxerror-help-too-many-arguments,src/common/QueryInterface.cpp
syntaxerror-llvms-too-many-arguments,src/common/QueryInterface.cpp
syntaxerror-note-conjecture-usage,src/common/QueryInterface.cpp
syntaxerror-note-premise-usage,src/common/QueryInterface.cpp
syntaxerror-note-proof-usage,src/common/QueryInterface.cpp
syntaxerror-note-usage,src/common/QueryInterface.cpp
syntaxerror-pt-usage,src/common/QueryInterface.cpp
syntaxerror-pts-test-usage,src/common/QueryInterface.cpp
syntaxerror-pts-usage,src/common/QueryInterface.cpp
syntaxerror-reach-usage,src/common/QueryInterface.cpp
syntaxerror-rts-too-many-arguments,src/common/QueryInterface.cpp
syntaxerror-site-usage,src/common/QueryInterface.cpp
syntaxerror-st-usage,src/common/QueryInterface.cpp
syntaxerror-stat-too-many-arguments,src/common/QueryInterface.cpp
syntaxerror-stds-too-many-arguments,src/common/QueryInterface.cpp
syntaxerror-test-too-many-arguments,src/common/QueryInterface.cpp
syntaxerror-tv-usage,src/common/QueryInterface.cpp
syntaxerror-unknown-command,src/common/QueryInterface.cpp
syntaxerror-vid-range-usage,src/common/QueryInterface.cpp
syntaxerror-vid-range-usage-in-list,src/common/QueryInterface.cpp
timespecinvalid-timespec-get-failed,src/common/Stopwatch.h
vidnotfound-get-global-ambiguous,src/common/IRManager.cpp
vidnotfound-get-global-not-found,src/common/IRManager.cpp
vidnotfound-global-name-ambiguous,src/common/QueryInterface.cpp
vidnotfound-global-name-not-found,src/common/QueryInterface.cpp
vidnotfound-invalid-integer,src/common/QueryInterface.cpp
vidnotfound-vid-not-found,src/common/QueryInterface.cpp
